Name, Country1,Country2, Age, Position,PreviousClub,NextClub,Season,Year,TransferFee
Chris Basham,England,None,21,DM,Bolton Wanderers,Blackpool,Summer,2010,1400000.0
Ricardo Vaz T�,Portugal,Guinea-Bissau,23,RW,Bolton Wanderers,Panionios,Summer,2010,0
Nicky Hunt,England,None,26,RB,Bolton Wanderers,Bristol City,Summer,2010,0
Danny Shittu,Nigeria,None,30,CB,Bolton Wanderers,Millwall,Summer,2010,0
Andrew O'Brien,Ireland,England,31,CB,Bolton Wanderers,Leeds,Summer,2010,-1
Chris Stokes,England,None,19,LB,Bolton Wanderers,None,Summer,2010,-1
Gavin McCann,England,None,32,CM,Bolton Wanderers,None,Summer,2010,-1
D. J. Campbell,England,None,28,CF,Leicester,Blackpool FC,Summer,2010,1500000.0
Elliot Grandin,France,Congo DR,22,RW,CSKA Sofia,Blackpool FC,Summer,2010,1500000.0
Chris Basham,England,None,21,DM,Bolton,Blackpool FC,Summer,2010,1400000.0
Craig Cathcart,Northern Ireland,None,21,CB,Man Utd U23,Blackpool FC,Summer,2010,625000.0
Matt Phillips,Scotland,England,19,RW,Wycombe,Blackpool FC,Summer,2010,400000.0
Marlon Harewood,England,Barbados,30,CF,Aston Villa,Blackpool FC,Summer,2010,0
Dekel Keinan,Israel,None,25,CB,Maccabi Haifa,Blackpool FC,Summer,2010,0
Malaury Martin,France,None,21,CM,Monaco,Blackpool FC,Summer,2010,0
David Carney,Australia,None,26,LW,FC Twente,Blackpool FC,Summer,2010,0
Ludovic Sylvestre,France,Guadeloupe,26,CM,Mlad� Boleslav,Blackpool FC,Summer,2010,-1
Richard Kingson,Ghana,Turkey,32,GK,Wigan,Blackpool FC,Summer,2010,-1
Ben Burgess,Ireland,None,28,CF,Blackpool FC,Notts County,Summer,2010,700000.0
Daniel Nardiello,Wales,England,27,CF,Blackpool FC,Exeter City,Summer,2010,0
Hameur Bouazza,Algeria,France,25,RW,Blackpool FC,AC Arles,Summer,2010,0
Al Bangura,Sierra Leone,None,22,CM,Blackpool FC,Mersin IY,Summer,2010,0
Stephen McPhee,Scotland,None,29,Striker,Blackpool FC,None,Summer,2010,-1
Danny Mitchley,England,None,20,CF,Blackpool FC,None,Summer,2010,-1
Joe Martin,England,None,20,LB,Blackpool FC,None,Summer,2010,-1
Azbe Jug,Slovenia,None,18,GK,NK Interblock,FC Girondins Bordeaux,Winter,2010,-1
Benjamin Moukandjo,Cameroon,France,22,CF,N�mes Olympique,AS Monaco,Winter,2010,500000.0
Mahamadou Diarra,Mali,None,29,DM,Real Madrid,AS Monaco,Winter,2010,0
Pascal Feindouno,Guinea,France,29,RW,None,AS Monaco,Winter,2010,-1
Alejandro Alonso,Argentina,Spain,28,RW,AS Monaco,Saint-�tienne,Winter,2010,200000.0
Serge Gakp�,Togo,France,23,RW,AS Monaco,FC Nantes,Winter,2010,0
Rod Fanni,France,Benin,29,RB,Stade Rennais,Olympique Marseille,Winter,2010,4000000.0
Jules Goda,Cameroon,None,21,GK,None,Olympique Marseille,Winter,2010,-1
Hatem Ben Arfa,France,Tunisia,23,AM,Olympique Marseille,Newcastle,Winter,2010,6000000.0
Rudy Riou,France,None,31,GK,Olympique Marseille,RSC Charleroi,Winter,2010,0
Razak Boukari,Togo,France,23,RW,Lens,Stade Rennais FC,Winter,2010,5000000.0
John Verhoek,Netherlands,None,21,CF,FC Den Bosch,Stade Rennais FC,Winter,2010,500000.0
Rod Fanni,France,Benin,29,RB,Stade Rennais FC,Marseille,Winter,2010,4000000.0
Simon Pontdem�,France,None,22,GK,Stade Brest 29,AJ Auxerre,Winter,2010,0
Jo-Gook Jung,Korea  South,None,26,CF,FC Seoul,AJ Auxerre,Winter,2010,0
J�r�my Huyghebaert,Belgium,None,21,LB,AJ Auxerre,KV Mechelen,Winter,2010,-1
Nemanja Pejcinovic,Serbia,None,23,CB,Rad,OGC Nice,Winter,2010,1000000.0
Ra�l Fern�ndez,Peru,None,25,GK,Universitario,OGC Nice,Winter,2010,0
St�phane Sess�gnon,Benin,None,26,AM,Paris Saint-Germain,Sunderland,Winter,2010,7000000.0
Mateja Kezman,Serbia,None,31,CF,Paris Saint-Germain,South China,Winter,2010,0
J�r�me Rothen,France,None,32,LM,Paris Saint-Germain,None,Winter,2010,-1
Yoric Ravet,France,None,21,RW,Grenoble,AS Saint-�tienne,Winter,2010,600000.0
Alejandro Alonso,Argentina,Spain,28,RW,Monaco,AS Saint-�tienne,Winter,2010,200000.0
S�bastien Grax,France,None,26,CF,AS Saint-�tienne,None,Winter,2010,-1
Razak Boukari,Togo,France,23,RW,RC Lens,Stade Rennais,Winter,2010,5000000.0
Marco Ramos,Portugal,France,27,LB,RC Lens,Braga,Winter,2010,0
John Utaka,Nigeria,None,29,LW,Portsmouth FC,HSC Montpellier,Winter,2010,500000.0
Jean II Makoun,Cameroon,France,27,DM,Olympique Lyon,Aston Villa,Winter,2010,6200000.0
Jonas Sakuwaha,Zambia,None,27,RW,FC Lorient,Al Merreikh,Winter,2010,0
Ronan Le Crom,France,None,36,GK,None,AS Nancy-Lorraine,Winter,2010,-1
Gr�gory Proment,France,None,32,DM,Antalyaspor,SM Caen,Winter,2010,0
Bobo Balde,Guinea,France,35,CB,Valenciennes FC,AC Arles,Winter,2010,0
Amara Bangoura,Guinea,None,24,RM,Valenciennes FC,OC Vannes,Winter,2010,0
Jonathan Ayit�,Togo,France,25,CF,N�mes Olympique,Stade Brest 29,Winter,2010,1000000.0
Simon Pontdem�,France,None,22,GK,Stade Brest 29,AJ Auxerre,Winter,2010,0
Bobo Balde,Guinea,France,35,CB,Valenciennes FC,Athl�tic Club Arl�sien,Winter,2010,0
Arnaud Torregrossa,France,None,21,GK,Perpignan Canet,Athl�tic Club Arl�sien,Winter,2010,0
Romain Rocchi,France,None,29,DM,Hapoel Tel Aviv,Athl�tic Club Arl�sien,Winter,2010,0
Elamine Erbate,Morocco,None,29,CB,Athl�tic Club Arl�sien,Raja Casablanca,Winter,2010,200000.0
�lvaro Mej�a,Spain,None,28,CB,Athl�tic Club Arl�sien,Konyaspor,Winter,2010,0
Benjamin Psaume,France,None,25,RW,Athl�tic Club Arl�sien,Troyes,Winter,2010,0
Angelos Charisteas,Greece,None,30,CF,Athl�tic Club Arl�sien,None,Winter,2010,-1
Angelos Basinas,Greece,None,34,DM,Athl�tic Club Arl�sien,None,Winter,2010,-1
Moritz Leitner,Germany,Austria,18,CM,1860 Munich,Borussia Dortmund,Winter,2010,0
Yasin �ztekin,Turkey,Germany,23,LW,Borussia Dortmund,Genclerbirligi,Winter,2010,0
Luiz Gustavo,Brazil,Germany,23,DM,TSG Hoffenheim,Bayern Munich,Winter,2010,17000000.0
Mart�n Demichelis,Argentina,Italy,30,CB,Bayern Munich,M�laga CF,Winter,2010,3000000.0
Edson Braafheid,Netherlands,Suriname,27,LB,Bayern Munich,TSG Hoffenheim,Winter,2010,0
Mark van Bommel,Netherlands,None,33,DM,Bayern Munich,AC Milan,Winter,2010,0
Anthony Annan,Ghana,None,24,DM,Rosenborg BK,FC Schalke 04,Winter,2010,2000000.0
Ali Karimi,Iran,None,32,AM,Steel Azin,FC Schalke 04,Winter,2010,0
Angelos Charisteas,Greece,None,30,CF,None,FC Schalke 04,Winter,2010,-1
