Name, Country1,Country2, Age, Position,PreviousClub,NextClub,Season,Year,TransferFee
Alejandro Arribas,Spain,None,25,CB,CA Osasuna,Sevilla FC,Summer,2014,0
Ivan Rakitic,Croatia,Switzerland,26,CM,Sevilla FC,FC Barcelona,Summer,2014,18000000.0
Alberto Moreno,Spain,None,22,LB,Sevilla FC,Liverpool,Summer,2014,18000000.0
Federico Fazio,Argentina,Italy,27,CB,Sevilla FC,Spurs,Summer,2014,10000000.0
Jairo Samperio,Spain,None,21,LW,Sevilla FC,1.FSV Mainz 05,Summer,2014,2200000.0
Alberto Bot�a,Spain,None,25,CB,Sevilla FC,Olympiacos,Summer,2014,2000000.0
Diego Perotti,Argentina,Spain,25,LW,Sevilla FC,Genoa,Summer,2014,350000.0
Javi Varas,Spain,None,31,GK,Sevilla FC,Real Valladolid,Summer,2014,0
Juli�n,Spain,None,23,GK,Sevilla FC,UD Almer�a,Summer,2014,-1
Tiberio Guarente,Italy,None,28,CM,Sevilla FC,FC Empoli,Summer,2014,-1
Miroslav Stevanovic,Bosnia-Herzegovina,Serbia,24,RM,Sevilla FC,None,Summer,2014,-1
Luciano Vietto,Argentina,Italy,20,CF,Racing Club,Villarreal CF,Summer,2014,5500000.0
Sergio Asenjo,Spain,None,25,GK,Atl�tico Madrid,Villarreal CF,Summer,2014,5000000.0
Jonathan dos Santos,Mexico,Spain,24,CM,FC Barcelona,Villarreal CF,Summer,2014,1500000.0
Antonio Rukavina,Serbia,None,30,RB,Real Valladolid,Villarreal CF,Summer,2014,0
Javier Espinosa,Spain,None,21,AM,FC Barcelona B,Villarreal CF,Summer,2014,0
Jonathan de Guzm�n,Netherlands,Canada,26,CM,Villarreal CF,SSC Napoli,Summer,2014,6000000.0
J�r�my Perbet,France,None,29,CF,Villarreal CF,Basaksehir,Summer,2014,1500000.0
Florian Lejeune,France,None,23,CB,Villarreal CF,Girona FC,Summer,2014,0
Alfred Finnbogason,Iceland,None,25,CF,Heerenveen,Real Sociedad,Summer,2014,8000000.0
Esteban Granero,Spain,None,27,CM,QPR,Real Sociedad,Summer,2014,4000000.0
Ra�l Navas,Spain,None,26,CB,SD Eibar,Real Sociedad,Summer,2014,0
I�aki Urkizu,Spain,None,24,LB,Sestao River,Real Sociedad,Summer,2014,-1
Antoine Griezmann,France,None,23,CF,Real Sociedad,Atl�tico Madrid,Summer,2014,30000000.0
Claudio Bravo,Chile,Spain,31,GK,Real Sociedad,FC Barcelona,Summer,2014,12000000.0
Haris Seferovic,Switzerland,Bosnia-Herzegovina,22,CF,Real Sociedad,E. Frankfurt,Summer,2014,3200000.0
Javi Ros,Spain,None,24,CM,Real Sociedad,RCD Mallorca,Summer,2014,0
Mikel Abaroa,Spain,None,25,AM,Real Sociedad,UD Logro��s,Summer,2014,0
�scar Vega,Spain,None,27,AM,Real Sociedad,None,Summer,2014,-1
Nicol�s Otamendi,Argentina,None,26,CB,FC Porto,Valencia CF,Summer,2014,12000000.0
Shkodran Mustafi,Germany,Albania,22,CB,Sampdoria,Valencia CF,Summer,2014,8000000.0
Rodrigo de Paul,Argentina,Italy,20,RW,Racing Club,Valencia CF,Summer,2014,4800000.0
Lucas Orb�n,Argentina,Spain,25,CB,G. Bordeaux,Valencia CF,Summer,2014,3500000.0
J�r�my Mathieu,France,None,30,CB,Valencia CF,FC Barcelona,Summer,2014,20000000.0
Juan Bernat,Spain,None,21,LB,Valencia CF,Bayern Munich,Summer,2014,10000000.0
Dorlan Pab�n,Colombia,None,26,CF,Valencia CF,Monterrey,Summer,2014,6000000.0
Adil Rami,France,Morocco,28,CB,Valencia CF,AC Milan,Summer,2014,4250000.0
�ver Banega,Argentina,Spain,26,CM,Valencia CF,Sevilla FC,Summer,2014,2500000.0
Aly Cissokho,France,Senegal,26,LB,Valencia CF,Aston Villa,Summer,2014,2500000.0
Jonathan Viera,Spain,None,24,AM,Valencia CF,Standard Li�ge,Summer,2014,2000000.0
Vicente Guaita,Spain,None,27,GK,Valencia CF,Getafe CF,Summer,2014,0
Seydou Keita,Mali,France,34,CM,Valencia CF,AS Roma,Summer,2014,0
Ricardo Costa,Portugal,None,33,CB,Valencia CF,Al-Sailiya,Summer,2014,0
H�lder Postiga,Portugal,None,32,CF,Valencia CF,Dep. La Coru�a,Summer,2014,0
Philippe Senderos,Switzerland,Spain,29,CB,Valencia CF,Aston Villa,Summer,2014,0
Jonas,Brazil,Italy,30,SS,Valencia CF,None,Summer,2014,-1
Rub�n Mart�nez,Spain,None,30,GK,Rayo Vallecano,UD Almer�a,Summer,2014,0
Tomer Hemed,Israel,Poland,27,CF,RCD Mallorca,UD Almer�a,Summer,2014,0
Ximo Navarro,Spain,None,24,RB,RCD Mallorca,UD Almer�a,Summer,2014,0
Mauro dos Santos,Argentina,Spain,25,CB,Real Murcia,UD Almer�a,Summer,2014,0
Quique,Spain,None,24,CF,CD Guadalajara,UD Almer�a,Summer,2014,0
Juli�n,Spain,None,23,GK,Sevilla FC,UD Almer�a,Summer,2014,-1
Aleix Vidal,Spain,None,24,RB,UD Almer�a,Sevilla FC,Summer,2014,3000000.0
Rafita,Spain,None,31,RB,UD Almer�a,Real Murcia,Summer,2014,0
Marcelo Silva,Uruguay,None,25,CB,UD Almer�a,UD Las Palmas,Summer,2014,0
Ra�l Garc�a,Spain,None,25,LB,UD Almer�a,Alav�s,Summer,2014,0
Marcos T�bar,Spain,None,28,DM,UD Almer�a,Brentford,Summer,2014,0
�scar D�az,Spain,None,30,CF,UD Almer�a,Real Valladolid,Summer,2014,0
Esteban,Spain,None,39,GK,UD Almer�a,Real Oviedo,Summer,2014,0
Johan Mojica,Colombia,None,21,LB,Deportivo Cali,Rayo Vallecano,Summer,2014,500000.0
Antonio Amaya,Spain,None,31,CB,Real Betis,Rayo Vallecano,Summer,2014,0
Diego Aguirre,Spain,None,23,LW,CD Toledo,Rayo Vallecano,Summer,2014,0
Jorge Morcillo,Spain,None,28,CB,Recr. Huelva,Rayo Vallecano,Summer,2014,0
Quini,Spain,None,24,RB,RM Castilla,Rayo Vallecano,Summer,2014,0
Jozabed S�nchez,Spain,None,23,CM,Real Ja�n CF,Rayo Vallecano,Summer,2014,0
Alejandro Pozuelo,Spain,None,22,AM,Swansea,Rayo Vallecano,Summer,2014,0
Derek Boateng,Ghana,None,31,DM,Fulham,Rayo Vallecano,Summer,2014,0
Manucho,Angola,Portugal,31,CF,Real Valladolid,Rayo Vallecano,Summer,2014,0
�lex Moreno,Spain,None,21,LB,RCD Mallorca B,Rayo Vallecano,Summer,2014,0
To�o,Spain,None,34,GK,Elche CF,Rayo Vallecano,Summer,2014,0
Rub�n Mart�nez,Spain,None,30,GK,Rayo Vallecano,UD Almer�a,Summer,2014,0
Joaqu�n Larrivey,Argentina,Italy,29,CF,Rayo Vallecano,Celta de Vigo,Summer,2014,0
Sebasti�n Fern�ndez,Uruguay,Spain,29,SS,Rayo Vallecano,Nacional,Summer,2014,0
Adri�n Gonz�lez,Spain,None,26,AM,Rayo Vallecano,Elche CF,Summer,2014,0
Derek Boateng,Ghana,None,31,DM,Rayo Vallecano,SD Eibar,Summer,2014,0
Alejandro G�lvez,Spain,None,25,CB,Rayo Vallecano,Werder Bremen,Summer,2014,0
Razvan Rat,Romania,None,33,LB,Rayo Vallecano,PAOK Saloniki,Summer,2014,0
Jos� Carlos,Spain,None,26,AM,Rayo Vallecano,C�rdoba CF,Summer,2014,0
Alberto Perea,Spain,None,24,LW,Rayo Vallecano,UE Llagostera,Summer,2014,0
Anaitz Arbilla,Spain,None,27,RB,Rayo Vallecano,Espanyol,Summer,2014,-1
Leonel Galeano,Argentina,Italy,22,CB,Rayo Vallecano,None,Summer,2014,-1
Nery Castillo,Mexico,Uruguay,30,RW,Rayo Vallecano,None,Summer,2014,-1
Pablo Hern�ndez,Chile,Argentina,27,CM,O'Higgins,Celta de Vigo,Summer,2014,1600000.0
Nemanja Radoja,Serbia,None,21,DM,Vojvodina,Celta de Vigo,Summer,2014,900000.0
Gustavo Cabral,Argentina,Spain,28,CB,Arsenal FC,Celta de Vigo,Summer,2014,0
Joaqu�n Larrivey,Argentina,Italy,29,CF,Rayo Vallecano,Celta de Vigo,Summer,2014,0
Carles Planas,Spain,None,23,LB,FC Barcelona B,Celta de Vigo,Summer,2014,-1
Sergi G�mez,Spain,None,22,CB,FC Barcelona B,Celta de Vigo,Summer,2014,-1
Jota,Spain,None,23,RW,Celta de Vigo,Brentford,Summer,2014,1500000.0
Jonathan Vila,Spain,None,28,CM,Celta de Vigo,Real Oviedo,Summer,2014,0
Cristian Bustos,Spain,None,31,CM,Celta de Vigo,RCD Mallorca,Summer,2014,0
Mario Bermejo,Spain,None,35,SS,Celta de Vigo,None,Summer,2014,-1
Isaac Cuenca,Spain,None,23,RW,FC Barcelona,Deportivo de La Coru�a,Summer,2014,0
Modibo Diakit�,France,Mali,27,CB,Sunderland,Deportivo de La Coru�a,Summer,2014,0
H�lder Postiga,Portugal,None,32,CF,Valencia CF,Deportivo de La Coru�a,Summer,2014,0
Haris Medunjanin,Bosnia-Herzegovina,Netherlands,29,CM,Gaziantepspor,Deportivo de La Coru�a,Summer,2014,0
Rudy,Angola,Sao Tome and Principe,25,CM,Deportivo de La Coru�a,Skoda Xanthi,Summer,2014,0
Antonio N��ez,Spain,None,35,RW,Deportivo de La Coru�a,Recr. Huelva,Summer,2014,0
Carlos Marchena,Spain,None,34,CB,Deportivo de La Coru�a,None,Summer,2014,-1
Javier Arizmendi,Spain,None,30,CF,Deportivo de La Coru�a,None,Summer,2014,-1
Dani Nieto,Spain,None,23,LW,FC Barcelona B,SD Eibar,Summer,2014,150000.0
�ngel Rodr�guez,Spain,None,27,CF,Levante UD,SD Eibar,Summer,2014,0
Borja Ekiza,Spain,None,26,CB,Athletic Bilbao,SD Eibar,Summer,2014,0
Ander Franco,Spain,None,25,CF,Haro Deportivo,SD Eibar,Summer,2014,0
Dani Garc�a,Spain,None,24,CM,Real Sociedad B,SD Eibar,Summer,2014,0
Derek Boateng,Ghana,None,31,DM,Rayo Vallecano,SD Eibar,Summer,2014,0
Dejan Lekic,Serbia,None,29,CF,Genclerbirligi,SD Eibar,Summer,2014,0
Jaime Jim�nez,Spain,None,33,GK,Real Valladolid,SD Eibar,Summer,2014,0
Josu Ozkoidi,Spain,None,24,SS,Real Sociedad B,SD Eibar,Summer,2014,0
Sa�l Berj�n,Spain,None,28,LW,Real Murcia,SD Eibar,Summer,2014,0
Javi Lara,Spain,None,28,AM,Ponferradina,SD Eibar,Summer,2014,12000.0
David Mainz,Spain,None,29,CF,SD Eibar,AE Larisa,Summer,2014,0
Gorka Kijera,Spain,None,28,LB,SD Eibar,CD Mirand�s,Summer,2014,0
Mat�as Ib��ez,Argentina,None,27,GK,SD Eibar,CA Lan�s,Summer,2014,0
Urko Vera,Spain,None,27,CF,SD Eibar,CD Mirand�s,Summer,2014,0
Ra�l Navas,Spain,None,26,CB,SD Eibar,Real Sociedad,Summer,2014,0
Diego Jim�nez,Spain,None,35,CM,SD Eibar,Ol�mpic X�tiva,Summer,2014,0
Diego Rivas,Spain,None,34,CM,SD Eibar,UE Llagostera,Summer,2014,0
Pedro Mosquera,Spain,None,26,CM,Getafe CF,Elche CF,Summer,2014,0
Adri�n Gonz�lez,Spain,None,26,AM,Rayo Vallecano,Elche CF,Summer,2014,0
Fay�al Fajr,Morocco,France,25,AM,SM Caen,Elche CF,Summer,2014,0
V�ctor Rodr�guez,Spain,None,25,AM,Real Zaragoza,Elche CF,Summer,2014,0
Gaby Mudingayi,Belgium,Congo DR,33,DM,None,Elche CF,Summer,2014,-1
Carlos S�nchez,Colombia,None,28,DM,Elche CF,Aston Villa,Summer,2014,6000000.0
Sergio Mantec�n,Spain,None,34,CM,Elche CF,C�diz CF,Summer,2014,0
To�o,Spain,None,34,GK,Elche CF,Rayo Vallecano,Summer,2014,0
Javi Flores,Spain,None,28,AM,Elche CF,Real Murcia,Summer,2014,0
Diego Rivas,Spain,None,27,GK,Elche CF,Albacete,Summer,2014,0
Cristian Sapunaru,Romania,None,30,CB,Elche CF,None,Summer,2014,-1
Alberto Rivera,Spain,None,36,CM,Elche CF,None,Summer,2014,-1
�lvaro Gonz�lez,Spain,None,24,CB,Real Zaragoza,RCD Espanyol Barcelona,Summer,2014,1100000.0
Paco Monta��s,Spain,None,27,LW,Real Zaragoza,RCD Espanyol Barcelona,Summer,2014,1100000.0
Salva Sevilla,Spain,None,30,AM,Real Betis,RCD Espanyol Barcelona,Summer,2014,0
Felipe Caicedo,Ecuador,Spain,25,CF,Al-Jazira,RCD Espanyol Barcelona,Summer,2014,0
Jos� Alberto Ca�as,Spain,None,27,DM,Swansea,RCD Espanyol Barcelona,Summer,2014,0
Anaitz Arbilla,Spain,None,27,RB,Rayo Vallecano,RCD Espanyol Barcelona,Summer,2014,-1
David L�pez,Spain,None,24,CB,RCD Espanyol Barcelona,SSC Napoli,Summer,2014,5300000.0
Joan Capdevila,Spain,None,36,LB,RCD Espanyol Barcelona,NorthEast Utd.,Summer,2014,0
Sim�o Sabrosa,Portugal,None,34,LW,RCD Espanyol Barcelona,None,Summer,2014,-1
Karim Yoda,France,Cote d'Ivoire,25,RW,Astra Giurgiu,Getafe CF,Summer,2014,0
Vicente Guaita,Spain,None,27,GK,Valencia CF,Getafe CF,Summer,2014,0
Jonathan L�pez,Spain,None,33,GK,PAE Veria,Getafe CF,Summer,2014,0
Miguel �ngel Moy�,Spain,None,30,GK,Getafe CF,Atl�tico Madrid,Summer,2014,3000000.0
Pedro Mosquera,Spain,None,26,CM,Getafe CF,Elche CF,Summer,2014,0
M�chel,Spain,None,28,CM,Getafe CF,Maccabi Haifa,Summer,2014,0
Jaime Gavil�n,Spain,None,29,LW,Getafe CF,Levante UD,Summer,2014,0
Borja Fern�ndez,Spain,None,33,DM,Getafe CF,Atl. Kolkata,Summer,2014,0
Rafa L�pez,Spain,None,29,CB,Getafe CF,SC Paderborn,Summer,2014,0
Ciprian Marica,Romania,None,28,CF,Getafe CF,Konyaspor,Summer,2014,0
Adri�n Colunga,Spain,None,29,CF,Getafe CF,Brighton,Summer,2014,-1
J�lio C�sar,Brazil,None,27,GK,Getafe CF,None,Summer,2014,-1
Dimitri Foulquier,France,Guadeloupe,21,RB,Stade Rennais,Granada CF,Summer,2014,2500000.0
Jhon C�rdoba,Colombia,None,21,CF,Chiapas FC,Granada CF,Summer,2014,1830000.0
Daniel Larsson,Sweden,None,27,LW,Real Valladolid,Granada CF,Summer,2014,0
Oier Olaz�bal,Spain,None,24,GK,FC Barcelona,Granada CF,Summer,2014,0
Molla Wague,Mali,France,23,CB,SM Caen,Granada CF,Summer,2014,0
Josan,Spain,None,24,LW,La Hoya Lorca,Granada CF,Summer,2014,0
Jean-Sylvain Babin,Martinique,France,27,CB,AD Alcorc�n,Granada CF,Summer,2014,0
Javi M�rquez,Spain,None,28,CM,RCD Mallorca,Granada CF,Summer,2014,0
Isaac Success,Nigeria,None,18,LW,Udinese U19,Granada CF,Summer,2014,-1
Lu�s Martins,Portugal,None,22,LB,Gil Vicente,Granada CF,Summer,2014,-1
Juan Carlos Paredes,Ecuador,None,27,RB,Barcelona SC,Granada CF,Summer,2014,-1
Rub�n Rochina,Spain,None,23,AM,Blackburn,Granada CF,Summer,2014,-1
Guilherme Siqueira,Brazil,Italy,28,LB,Granada CF,Atl�tico Madrid,Summer,2014,10000000.0
Yacine Brahimi,Algeria,France,24,LW,Granada CF,FC Porto,Summer,2014,6500000.0
Allan,Brazil,Portugal,23,CM,Granada CF,Udinese Calcio,Summer,2014,3000000.0
Brayan Angulo,Colombia,Spain,24,LB,Granada CF,Ludogorets,Summer,2014,1500000.0
Juanma Ortiz,Spain,None,32,RB,Granada CF,AEK Larnaca,Summer,2014,0
Essa�d Belkalem,Algeria,None,25,CB,Granada CF,Watford,Summer,2014,0
Jon Ander Garrido,Spain,None,24,DM,Granada CF,C�diz CF,Summer,2014,0
Hassan Yebda,Algeria,France,30,CM,Granada CF,Dibba Fujairah,Summer,2014,0
David Ferreiro,Spain,None,26,RW,Granada CF,CD Lugo,Summer,2014,-1
Toti,Spain,None,26,AM,Granada CF,Alav�s,Summer,2014,-1
Kabiru Akinsola,Nigeria,None,23,CF,Granada CF,CSMS Iasi,Summer,2014,-1
Alexis Zapata,Colombia,None,19,AM,Granada CF,Udinese Calcio,Summer,2014,-1
Gai Assulin,Israel,Spain,23,LW,Granada CF,RCD Mallorca,Summer,2014,-1
Pape Diakhat�,Senegal,France,30,CB,Granada CF,None,Summer,2014,-1
Jes�s Fern�ndez,Spain,None,26,GK,Real Madrid,Levante UD,Summer,2014,500000.0
To�o,Spain,None,24,LB,Recr. Huelva,Levante UD,Summer,2014,300000.0
Jaime Gavil�n,Spain,None,29,LW,Getafe CF,Levante UD,Summer,2014,0
Rafael Martins,Brazil,None,25,CF,GO Audax,Levante UD,Summer,2014,0
Gabriel Kunda Jr.,Zambia,None,21,CM,Real Zaragoza,Levante UD,Summer,2014,-1
Keylor Navas,Costa Rica,Spain,27,GK,Levante UD,Real Madrid,Summer,2014,10000000.0
Aloys Nong,Cameroon,Belgium,31,CF,Levante UD,Foolad,Summer,2014,385000.0
Nagore,Spain,None,33,RB,Levante UD,AD Alcorc�n,Summer,2014,0
�ngel Rodr�guez,Spain,None,27,CF,Levante UD,SD Eibar,Summer,2014,0
Miguel Pallard�,Spain,None,28,DM,Levante UD,Heart of Midl.,Summer,2014,0
Pedro R�os,Spain,None,32,RW,Levante UD,Recr. Huelva,Summer,2014,0
S�rgio da Silva Pinto,Germany,Portugal,33,CM,Levante UD,F. D�sseldorf,Summer,2014,-1
Ricardo Horta,Portugal,None,19,SS,Vit�ria Set�bal,M�laga CF,Summer,2014,500000.0
Arthur Boka,Cote d'Ivoire,None,31,LB,VfB Stuttgart,M�laga CF,Summer,2014,0
Roberto Rosales,Venezuela,None,25,RB,FC Twente,M�laga CF,Summer,2014,0
Guillermo Ochoa,Mexico,None,29,GK,Ajaccio,M�laga CF,Summer,2014,0
Miguel Torres,Spain,None,28,RB,Olympiacos,M�laga CF,Summer,2014,0
Willy Caballero,Argentina,Spain,32,GK,M�laga CF,Man City,Summer,2014,8000000.0
Jes�s G�mez,Spain,None,29,RB,M�laga CF,Atl�tico Madrid,Summer,2014,2500000.0
Eliseu,Portugal,None,30,LB,M�laga CF,Benfica,Summer,2014,1200000.0
Aritz L�pez Garai,Spain,None,33,CM,Sporting Gij�n,C�rdoba CF,Summer,2014,0
I�igo L�pez,Spain,None,32,CB,PAOK Saloniki,C�rdoba CF,Summer,2014,0
Deivid,Spain,None,25,CB,UD Las Palmas,C�rdoba CF,Summer,2014,0
Patrick Ekeng �,Cameroon,None,24,CM,Lausanne-Sport,C�rdoba CF,Summer,2014,0
Mike Havenaar,Japan,None,27,CF,Vitesse,C�rdoba CF,Summer,2014,0
Jos� Carlos,Spain,None,26,AM,Rayo Vallecano,C�rdoba CF,Summer,2014,0
Jaime Astrain,Spain,None,26,CB,C�rdoba CF,Real Ja�n CF,Summer,2014,0
Ra�l Bravo,Spain,None,33,CB,C�rdoba CF,PAE Veria,Summer,2014,0
Pedro,Spain,None,27,RW,C�rdoba CF,Real Zaragoza,Summer,2014,0
Nwankwo Obiora,Nigeria,None,23,DM,C�rdoba CF,Coimbra,Summer,2014,0
Miguel �ngel Nieto,Spain,None,28,LW,C�rdoba CF,None,Summer,2014,-1
Juanlu,Spain,None,34,LM,C�rdoba CF,None,Summer,2014,-1
Joselu,Spain,None,24,RB,C�rdoba CF,None,Summer,2014,-1
Papu G�mez,Argentina,Italy,26,SS,Metalist,Atalanta BC,Summer,2014,5000000.0
Richmond Boakye,Ghana,None,21,CF,Juventus,Atalanta BC,Summer,2014,2700000.0
Marco D'Alessandro,Italy,None,23,LW,AS Roma,Atalanta BC,Summer,2014,2000000.0
Yohan Benalouane,Tunisia,France,27,CB,Parma,Atalanta BC,Summer,2014,1000000.0
Nana Welbeck,Ghana,None,19,CM,Brescia,Atalanta BC,Summer,2014,0
Boukary Dram�,Senegal,France,28,LB,Chievo Verona,Atalanta BC,Summer,2014,0
Giuseppe Biava,Italy,None,37,CB,Lazio,Atalanta BC,Summer,2014,0
Davide Zappacosta,Italy,None,22,RB,AS Avellino,Atalanta BC,Summer,2014,-1
Giacomo Bonaventura,Italy,None,25,CM,Atalanta BC,AC Milan,Summer,2014,7000000.0
Marko Livaja,Croatia,None,20,CF,Atalanta BC,Rubin Kazan,Summer,2014,6500000.0
Andrea Consigli,Italy,None,27,GK,Atalanta BC,Sassuolo,Summer,2014,3000000.0
Simone Colombi,Italy,None,23,GK,Atalanta BC,Cagliari Calcio,Summer,2014,1500000.0
Stefano Lucchini,Italy,None,33,CB,Atalanta BC,AC Cesena,Summer,2014,100000.0
Franco Brienza,Italy,None,35,SS,Atalanta BC,AC Cesena,Summer,2014,100000.0
Christian Monacizzo,Italy,None,23,CM,Atalanta BC,Sestri Levante,Summer,2014,-1
James Troisi,Australia,Italy,25,LW,Atalanta BC,Zulte Waregem,Summer,2014,-1
Michele Villanova,Italy,None,20,CF,Atalanta BC,None,Summer,2014,-1
Daniele Mologni,Italy,None,20,Midfielder,Atalanta BC,Scanzorosciate,Summer,2014,-1
Mario Yepes,Colombia,France,38,CB,Atalanta BC,None,Summer,2014,-1
Caio Rangel,Brazil,None,18,RW,Flamengo U20,Cagliari Calcio,Summer,2014,2650000.0
Godfred Donsah,Ghana,None,18,CM,Hellas Verona,Cagliari Calcio,Summer,2014,2500000.0
Luca Ceppitelli,Italy,None,24,CB,Parma,Cagliari Calcio,Summer,2014,2500000.0
Alessio Cragno,Italy,None,20,GK,Brescia,Cagliari Calcio,Summer,2014,1600000.0
Simone Colombi,Italy,None,23,GK,Atalanta,Cagliari Calcio,Summer,2014,1500000.0
Jo�o Pedro,Brazil,None,22,AM,Estoril,Cagliari Calcio,Summer,2014,1300000.0
Simone Benedetti,Italy,None,22,CB,Inter,Cagliari Calcio,Summer,2014,1000000.0
Alessandro Capello,Italy,None,18,CF,Bologna,Cagliari Calcio,Summer,2014,1000000.0
Antonio Balzano,Italy,None,28,RB,Pescara,Cagliari Calcio,Summer,2014,0
Stefan Popescu,Romania,None,21,LB,Astra Giurgiu,Cagliari Calcio,Summer,2014,0
Radja Nainggolan,Belgium,None,26,CM,Cagliari Calcio,AS Roma,Summer,2014,15000000.0
Mauricio Pinilla,Chile,Italy,30,CF,Cagliari Calcio,Genoa,Summer,2014,2000000.0
Sebastian Eriksson,Sweden,None,26,DM,Cagliari Calcio,IFK G�teborg,Summer,2014,325000.0
Gabriele Perico,Italy,None,30,RB,Cagliari Calcio,AC Cesena,Summer,2014,100000.0
Vlada Avramov,Serbia,None,35,GK,Cagliari Calcio,Torino,Summer,2014,0
Marios Oikonomou,Greece,None,21,CB,Cagliari Calcio,Bologna,Summer,2014,0
Pablo Ceppelini,Uruguay,Italy,22,AM,Cagliari Calcio,U Cluj,Summer,2014,0
Nen�,Brazil,None,30,CF,Cagliari Calcio,Hellas Verona,Summer,2014,0
Mat�as Cabrera,Uruguay,None,28,AM,Cagliari Calcio,Estoril,Summer,2014,0
Antonio Mazzotta,Italy,None,25,LB,Crotone,AC Cesena,Summer,2014,500000.0
Z� Eduardo,Brazil,None,22,AM,Parma,AC Cesena,Summer,2014,300000.0
Franco Brienza,Italy,None,35,SS,Atalanta,AC Cesena,Summer,2014,100000.0
Stefano Lucchini,Italy,None,33,CB,Atalanta,AC Cesena,Summer,2014,100000.0
Gabriele Perico,Italy,None,30,RB,Cagliari Calcio,AC Cesena,Summer,2014,100000.0
Manuel Coppola,Italy,None,32,CM,Siena,AC Cesena,Summer,2014,0
Walter Bressan,Italy,None,33,GK,Varese,AC Cesena,Summer,2014,0
Fabio Reato,Italy,None,21,CB,Pavia,AC Cesena,Summer,2014,-1
Carlo Crialese,Italy,None,21,LB,Parma,AC Cesena,Summer,2014,-1
Matteo Zanini,Italy,None,20,LB,Pavia,AC Cesena,Summer,2014,-1
Federico Agliardi,Italy,None,31,GK,Bologna,AC Cesena,Summer,2014,-1
Felice Di Cecco,Italy,None,20,DM,Brescia U19,AC Cesena,Summer,2014,-1
Luka Krajnc,Slovenia,None,19,CB,Genoa,AC Cesena,Summer,2014,-1
Davide Adorni,Italy,None,21,CB,Parma,AC Cesena,Summer,2014,-1
Emmanuel Cascione,Italy,None,30,CM,Parma,AC Cesena,Summer,2014,-1
Mohamed Traor�,Guinea,Italy,22,RB,Parma,AC Cesena,Summer,2014,-1
Hugo Almeida,Portugal,None,30,CF,None,AC Cesena,Summer,2014,-1
Alex Teodorani,Italy,None,23,GK,AC Cesena,Vis Pesaro,Summer,2014,0
Alessandro Tonti,Italy,None,22,GK,AC Cesena,Teramo,Summer,2014,0
Antonio Romano,Italy,None,18,SS,AC Cesena,S.Ant.Abate,Summer,2014,0
Marco Mariani,Italy,None,21,CM,AC Cesena,Giulianova,Summer,2014,0
Luca Ricci,Italy,None,25,CB,AC Cesena,Catanzaro,Summer,2014,-1
Francesco Urso,Italy,None,20,DM,AC Cesena,Vicenza,Summer,2014,-1
Louise Parfait,Cameroon,None,24,CM,AC Cesena,FC Chiasso,Summer,2014,-1
Gianluca Turchetta,Italy,None,23,LW,AC Cesena,Parma,Summer,2014,-1
Sasa Cicarevic,Montenegro,None,19,RW,AC Cesena,San Marino,Summer,2014,-1
Nicol� Lini,Italy,None,20,CB,AC Cesena,Tre Fiori,Summer,2014,-1
Nicola Ravaglia,Italy,None,25,GK,AC Cesena,Parma,Summer,2014,-1
Emanuele Fonte,Italy,None,21,CB,AC Cesena,Brescia,Summer,2014,-1
Andrea Rossini,Italy,None,24,GK,AC Cesena,Parma,Summer,2014,-1
Luca Ceccarelli,Italy,None,31,RB,AC Cesena,Bologna,Summer,2014,-1
Daniele Forte,Italy,None,24,DM,AC Cesena,Bellaria IM,Summer,2014,-1
Nicol� Lolli,Italy,None,19,CF,AC Cesena,Parma,Summer,2014,-1
Andrea Campagnolo,Italy,None,36,GK,AC Cesena,None,Summer,2014,-1
Riccardo Martinelli,Italy,None,23,CB,AC Cesena,None,Summer,2014,-1
Dominique Malonga,Congo,France,25,CF,AC Cesena,None,Summer,2014,-1
Nicol� Consolini,Italy,None,29,RB,AC Cesena,None,Summer,2014,-1
Massimo Maccarone,Italy,None,34,CF,Sampdoria,FC Empoli,Summer,2014,0
M�rio Rui,Portugal,None,23,LB,Parma,FC Empoli,Summer,2014,0
Mateus Ribeiro Dos Santos,Brazil,None,24,CF,Matera,FC Empoli,Summer,2014,0
Simone Della Latta,Italy,None,21,CM,Viareggio,FC Empoli,Summer,2014,-1
Sebasti�n Sosa,Uruguay,None,20,CF,US Palermo,FC Empoli,Summer,2014,-1
Leonardo Bianchi,Italy,None,22,AM,Gavorrano,FC Empoli,Summer,2014,-1
Emanuele Rovini,Italy,None,19,CF,Udinese Calcio,FC Empoli,Summer,2014,-1
Lorenzo Tempesti,Italy,None,20,AM,Gavorrano,FC Empoli,Summer,2014,-1
Claudio Santini,Italy,None,22,SS,Gavorrano,FC Empoli,Summer,2014,-1
Maurizio Pugliesi,Italy,None,37,GK,None,FC Empoli,Summer,2014,-1
Tiberio Guarente,Italy,None,28,CM,Sevilla FC,FC Empoli,Summer,2014,-1
Simone Della Latta,Italy,None,21,CM,FC Empoli,Pontedera,Summer,2014,-1
L�an Menegaz,Brazil,None,21,CB,FC Empoli,None,Summer,2014,-1
Pietro Accardi,Italy,None,31,LB,FC Empoli,None,Summer,2014,-1
Francesco Pratali,Italy,None,35,CB,FC Empoli,None,Summer,2014,-1
Mariano Izco,Argentina,Italy,31,CM,Catania,Chievo Verona,Summer,2014,3000000.0
