Name, Country 1, Country 2, Age, Position, Previous Club, Next Club, Transfer Fee
Mané, Spain, None, 31, LB, Getafe CF, M. Tel Aviv, Summer, 2013, Free transfer
Javier Arizmendi, Spain, None, 29, CF, Getafe CF, Dep. La Coruña, Summer, 2013, Free transfer
Hugo Fraile, Spain, None, 26, RW, Getafe CF, Sporting Gijón, Summer, 2013, Free transfer
Daniel Güiza, Spain, None, 32, CF, Getafe CF, Cerro Porteño, Summer, 2013, Free transfer
Yacine Brahimi, Algeria, France, 23, LW, Stade Rennais, Granada CF, Summer, 2013, 2.50 Mill. €
Douglas Santos, Brazil, None, 19, LB, Náutico, Granada CF, Summer, 2013, 2.30 Mill. €
Manuel Iturra, Chile, Italy, 29, DM, Málaga CF, Granada CF, Summer, 2013, Free transfer
Gai Assulin, Israel, Spain, 22, LW, Racing, Granada CF, Summer, 2013, Free transfer
Riki, Spain, None, 32, CF, Dep. La Coruña, Granada CF, Summer, 2013, Free transfer
Essaïd Belkalem, Algeria, None, 24, CB, JS Kabylie, Granada CF, Summer, 2013, Free transfer
Piti, Spain, None, 32, LW, Rayo Vallecano, Granada CF, Summer, 2013, Free transfer
Mikel Rico, Spain, None, 28, CM, Granada CF, Athletic Bilbao, Summer, 2013, 2.90 Mill. €
Naldo, Brazil, None, 24, CB, Granada CF, Udinese Calcio, Summer, 2013, 500 Th. €
José María Cases, Spain, None, 26, SS, Granada CF, Panthrakikos, Summer, 2013, Free transfer
Daniel Pudil, Czech Republic, None, 27, LB, Granada CF, Watford, Summer, 2013, Free transfer
David de Coz, Spain, None, 33, RB, Granada CF, CD Lugo, Summer, 2013, Free transfer
Iñigo López, Spain, None, 30, CB, Granada CF, PAOK Saloniki, Summer, 2013, Free transfer
Toño, Spain, None, 33, GK, Granada CF, Elche CF, Summer, 2013, Free transfer
Carlos Aranda, Spain, None, 33, CF, Granada CF, UD Las Palmas, Summer, 2013, Free transfer
Manuel Lucena, Spain, None, 30, CB, Granada CF, CD Mirandés, Summer, 2013, Free transfer
Ikechi Anya, Scotland, Nigeria, 25, LM, Granada CF, Watford, Summer, 2013, ?
Silvan Widmer, Switzerland, None, 20, RB, Granada CF, Udinese Calcio, Summer, 2013, ?
Iriney, Brazil, Spain, 32, CM, Granada CF, Watford, Summer, 2013, ?
Álex Bernal, Spain, None, 22, CM, Granada CF, SD Huesca, Summer, 2013, ?
Alessandro Matri, Italy, None, 29, CF, Juventus, AC Milan, Summer, 2013, 11.00 Mill. €
Andrea Poli, Italy, None, 23, CM, Sampdoria, AC Milan, Summer, 2013, 9.70 Mill. €
Cristián Zapata, Colombia, None, 26, CB, Villarreal CF, AC Milan, Summer, 2013, 6.00 Mill. €
Riccardo Saponara, Italy, None, 21, AM, FC Empoli, AC Milan, Summer, 2013, 4.80 Mill. €
Jherson Vergara, Colombia, None, 19, CB, Quindío, AC Milan, Summer, 2013, 2.00 Mill. €
Valter Birsa, Slovenia, None, 27, AM, Genoa, AC Milan, Summer, 2013, Free transfer
Kaká, Brazil, Italy, 31, AM, Real Madrid, AC Milan, Summer, 2013, Free transfer
Giacomo Beretta, Italy, None, 21, CF, Genoa, AC Milan, Summer, 2013, ?
Luca Ghiringhelli, Italy, None, 21, RB, Novara, AC Milan, Summer, 2013, ?
Ferdinando Coppola, Italy, None, 35, GK, Torino, AC Milan, Summer, 2013, -
Kevin-Prince Boateng, Ghana, Germany, 26, AM, AC Milan, FC Schalke 04, Summer, 2013, 10.00 Mill. €
Rodney Strasser, Sierra Leone, None, 23, DM, AC Milan, Genoa, Summer, 2013, 4.00 Mill. €
Bartosz Salamon, Poland, None, 22, CB, AC Milan, Sampdoria, Summer, 2013, 3.40 Mill. €
Michelangelo Albertazzi, Italy, None, 22, LB, AC Milan, Hellas Verona, Summer, 2013, 500 Th. €
Adrià Carmona, Spain, None, 21, LW, AC Milan, Girona FC, Summer, 2013, Free transfer
Luca Antonini, Italy, None, 31, LB, AC Milan, Genoa, Summer, 2013, Free transfer
Mario Yepes, Colombia, France, 37, CB, AC Milan, Atalanta, Summer, 2013, Free transfer
Mathieu Flamini, France, None, 29, DM, AC Milan, Arsenal, Summer, 2013, Free transfer
Taye Taiwo, Nigeria, None, 28, LB, AC Milan, Bursaspor, Summer, 2013, Free transfer
Massimo Ambrosini, Italy, None, 36, CM, AC Milan, Fiorentina, Summer, 2013, gratuito
Luca Ghiringhelli, Italy, None, 21, RB, AC Milan, Juve Stabia, Summer, 2013, ?
Uros Palibrk, Slovenia, None, 21, LW, AC Milan, NK Triglav, Summer, 2013, ?
Andrea Schenetti, Italy, None, 22, CM, AC Milan, Como, Summer, 2013, ?
Filippo Perucchini, Italy, None, 21, GK, AC Milan, Lecce, Summer, 2013, ?
Umberto Previti, Italy, None, 23, GK, AC Milan, None, Summer, 2013, -
Kevin Strootman, Netherlands, None, 23, CM, PSV Eindhoven, AS Roma, Summer, 2013, 17.50 Mill. €
Medhi Benatia, Morocco, France, 26, CB, Udinese Calcio, AS Roma, Summer, 2013, 13.50 Mill. €
Adem Ljajic, Serbia, None, 21, AM, Fiorentina, AS Roma, Summer, 2013, 11.00 Mill. €
Gervinho, Cote d'Ivoire, None, 26, LW, Arsenal, AS Roma, Summer, 2013, 8.00 Mill. €
Tin Jedvaj, Croatia, None, 17, CB, Dinamo Zagreb, AS Roma, Summer, 2013, 5.00 Mill. €
Mattia Destro, Italy, None, 22, CF, Genoa, AS Roma, Summer, 2013, 4.50 Mill. €
Valerio Verre, Italy, None, 19, CM, Genoa, AS Roma, Summer, 2013, 2.50 Mill. €
Gianluca Caprari, Italy, None, 19, SS, Pescara, AS Roma, Summer, 2013, 2.00 Mill. €
Giammario Piscitella, Italy, None, 20, LW, Genoa, AS Roma, Summer, 2013, 1.50 Mill. €
Lukasz Skorupski, Poland, None, 22, GK, Górnik Zabrze, AS Roma, Summer, 2013, 890 Th. €
Morgan De Sanctis, Italy, None, 36, GK, SSC Napoli, AS Roma, Summer, 2013, 500 Th. €
Federico Barba, Italy, None, 19, CB, Grosseto, AS Roma, Summer, 2013, 400 Th. €
Maicon, Brazil, None, 31, RB, Man City, AS Roma, Summer, 2013, Free transfer
Babù, Brazil, None, 32, RW, Paganese, AS Roma, Summer, 2013, Free transfer
Amara Konate, Cote d'Ivoire, None, 22, CF, Campobasso, AS Roma, Summer, 2013, Free transfer
Marquinhos, Brazil, Portugal, 19, CB, AS Roma, Paris SG, Summer, 2013, 31.40 Mill. €
Érik Lamela, Argentina, Spain, 21, RW, AS Roma, Spurs, Summer, 2013, 30.00 Mill. €
Daniel Osvaldo, Italy, Argentina, 27, CF, AS Roma, Southampton, Summer, 2013, 15.10 Mill. €
Bojan Krkic, Spain, Serbia, 22, SS, AS Roma, FC Barcelona, Summer, 2013, 13.00 Mill. €
Maarten Stekelenburg, Netherlands, None, 30, GK, AS Roma, Fulham, Summer, 2013, 5.60 Mill. €
Nicolás López, Uruguay, None, 19, CF, AS Roma, Udinese Calcio, Summer, 2013, 4.00 Mill. €
Panagiotis Tachtsidis, Greece, None, 22, DM, AS Roma, Genoa, Summer, 2013, 3.00 Mill. €
Valerio Verre, Italy, None, 19, CM, AS Roma, Udinese Calcio, Summer, 2013, 2.50 Mill. €
Giammario Piscitella, Italy, None, 20, LW, AS Roma, Pescara, Summer, 2013, 1.50 Mill. €
Stefano Sabelli, Italy, None, 20, RB, AS Roma, Bari, Summer, 2013, 900 Th. €
Matteo Politano, Italy, None, 19, RW, AS Roma, Pescara, Summer, 2013, 500 Th. €
Federico Barba, Italy, None, 19, CB, AS Roma, FC Empoli, Summer, 2013, 300 Th. €
Federico Barba, Italy, None, 19, CB, AS Roma, Grosseto, Summer, 2013, 200 Th. €
Babù, Brazil, None, 32, RW, AS Roma, Alcanenense, Summer, 2013, Free transfer
Loïc Nego, France, Guadeloupe, 22, RB, AS Roma, Újpest FC, Summer, 2013, ?
Luca Antei, Italy, None, 21, CB, AS Roma, Sassuolo, Summer, 2013, ?
Matteo Brighi, Italy, None, 32, CM, AS Roma, Torino, Summer, 2013, ?
Simone Sini, Italy, None, 21, CB, AS Roma, Perugia, Summer, 2013, ?
Simone Perrotta, Italy, None, 35, AM, AS Roma, None, Summer, 2013, -
Alessandro Viscontini, Italy, None, 19, Striker, AS Roma, None, Summer, 2013, -
Mauro Icardi, Argentina, Italy, 20, CF, Sampdoria, FC Internazionale, Summer, 2013, 13.00 Mill. €
Saphir Taider, Algeria, France, 21, CM, Bologna, FC Internazionale, Summer, 2013, 7.50 Mill. €
Matías Silvestre, Argentina, Italy, 28, CB, US Palermo, FC Internazionale, Summer, 2013, 6.00 Mill. €
Ishak Belfodil, Algeria, France, 21, SS, Parma, FC Internazionale, Summer, 2013, 5.75 Mill. €
Diego Laxalt, Uruguay, Italy, 20, LM, Defensor, FC Internazionale, Summer, 2013, 2.30 Mill. €
Gaby Mudingayi, Belgium, Congo DR, 31, DM, Bologna, FC Internazionale, Summer, 2013, 750 Th. €
Luca Caldirola, Italy, None, 22, CB, AC Cesena, FC Internazionale, Summer, 2013, 750 Th. €
Luca Tremolada, Italy, None, 21, AM, Como, FC Internazionale, Summer, 2013, 50 Th. €
Juan Pablo Carrizo, Argentina, None, 29, GK, Lazio, FC Internazionale, Summer, 2013, Free transfer
Hugo Campagnaro, Argentina, Italy, 33, CB, SSC Napoli, FC Internazionale, Summer, 2013, Free transfer
Marco Andreolli, Italy, None, 27, CB, Chievo Verona, FC Internazionale, Summer, 2013, Free transfer
Jacopo Galimberti, Italy, None, 20, CB, Parma, FC Internazionale, Summer, 2013, ?
Diego Mella, Italy, None, 20, RW, Parma, FC Internazionale, Summer, 2013, ?
Giulio Donati, Italy, None, 23, RB, FC Internazionale, Bay. Leverkusen, Summer, 2013, 3.00 Mill. €
Luca Caldirola, Italy, None, 22, CB, FC Internazionale, Werder Bremen, Summer, 2013, 2.25 Mill. €
Matteo Bianchetti, Italy, None, 20, CB, FC Internazionale, Hellas Verona, Summer, 2013, 1.60 Mill. €
Andrea Romanò, Italy, None, 19, CM, FC Internazionale, Bologna, Summer, 2013, 1.25 Mill. €
Cristiano Biraghi, Italy, None, 20, LB, FC Internazionale, Cittadella, Summer, 2013, 150 Th. €
Luca Tremolada, Italy, None, 21, AM, FC Internazionale, Varese, Summer, 2013, ?
Simone Pecorini, Italy, None, 20, RB, FC Internazionale, Cittadella, Summer, 2013, ?
Michele Rigione, Italy, None, 22, CB, FC Internazionale, Catanzaro, Summer, 2013, ?
Mame Thiam, Senegal, None, 20, LW, FC Internazionale, Virtus Lanciano, Summer, 2013, ?
Dejan Stankovic, Serbia, Italy, 34, CM, FC Internazionale, None, Summer, 2013, -
Tommaso Rocchi, Italy, None, 35, CF, FC Internazionale, None, Summer, 2013, -
Marco Parolo, Italy, None, 28, CM, AC Cesena, Parma FC, Summer, 2013, 3.00 Mill. €
Denilson Gabionetta, Brazil, Italy, 27, LW, Crotone, Parma FC, Summer, 2013, 1.00 Mill. €
Gianni Munari, Italy, None, 30, CM, Sampdoria, Parma FC, Summer, 2013, 1.00 Mill. €
Slawomir Peszko, Poland, None, 28, LW, 1. FC Köln, Parma FC, Summer, 2013, 620 Th. €
Filip Jankovic, Serbia, None, 18, AM, Red Star U19, Parma FC, Summer, 2013, 500 Th. €
Mory Koné, France, Cote d'Ivoire, 19, CB, Le Mans, Parma FC, Summer, 2013, 500 Th. €
Carlos García, Sweden, Nicaragua, 20, CB, Juventus, Parma FC, Summer, 2013, 500 Th. €
Tomas Danilevicius, Lithuania, None, 35, CF, Latina Calcio, Parma FC, Summer, 2013, 400 Th. €
Zouhair Feddal, Morocco, Spain, 23, CB, FUS Rabat, Parma FC, Summer, 2013, 350 Th. €
Edoardo Pacini, Italy, None, 22, RM, Bellaria IM, Parma FC, Summer, 2013, Free transfer
Giordano Maccarrone, Italy, None, 23, CB, Catania, Parma FC, Summer, 2013, Free transfer
Abdelaye Diakité, Mali, France, 23, CB, Aprilia, Parma FC, Summer, 2013, Free transfer
Tomislav Saric, Croatia, None, 23, CM, Inter Zapresic, Parma FC, Summer, 2013, Free transfer
Francesco Rapisarda, Italy, None, 21, RB, L'Aquila, Parma FC, Summer, 2013, Free transfer
Alessandro Cesarini, Italy, None, 24, AM, Spezia Calcio, Parma FC, Summer, 2013, Free transfer
Alex Cordaz, Italy, None, 30, GK, Cittadella, Parma FC, Summer, 2013, Free transfer
Uros Celcer, Slovenia, None, 24, LB, ND Gorica, Parma FC, Summer, 2013, Free transfer
Gianvito Misuraca, Italy, None, 23, AM, Vicenza, Parma FC, Summer, 2013, Free transfer
Cristóbal Jorquera, Chile, None, 25, CM, Genoa, Parma FC, Summer, 2013, Free transfer
Pedro Mendes, Portugal, None, 22, CB, Sporting B, Parma FC, Summer, 2013, Free transfer
Giuseppe Prestia, Italy, None, 19, CB, US Palermo, Parma FC, Summer, 2013, Free transfer
Jorman Aguilar, Panama, None, 18, LW, Río Abajo, Parma FC, Summer, 2013, Free transfer
Gonzalo Mastriani, Uruguay, Italy, 20, CF, Cerro, Parma FC, Summer, 2013, Free transfer
Nabil Taïder, Tunisia, France, 30, CM, Como, Parma FC, Summer, 2013, Free transfer
Soufiane Bidaoui, Morocco, Belgium, 23, LW, Lierse SK, Parma FC, Summer, 2013, Free transfer
Nicola Cosentini, Italy, None, 25, DM, Tauras, Parma FC, Summer, 2013, Free transfer
Matteo Bibba, Italy, None, 21, GK, Casale, Parma FC, Summer, 2013, gratuito
Marco Modolo, Italy, None, 24, CB, Pro Vercelli, Parma FC, Summer, 2013, gratuito
Andrea Scicchitano, Italy, None, 21, CM, AC Siena, Parma FC, Summer, 2013, gratuito
Mauro Cerquetani, Italy, None, 19, RB, Cavese, Parma FC, Summer, 2013, gratuito
Luca Berardocco, Italy, None, 22, CM, Pescara, Parma FC, Summer, 2013, gratuito
Gennaro Scognamiglio, Italy, None, 26, CB, Juve Stabia, Parma FC, Summer, 2013, gratuito
Paolo Dametto, Italy, None, 20, CB, Cagliari Calcio, Parma FC, Summer, 2013, gratuito
Robert Stillo, Canada, Italy, 22, GK, Genoa, Parma FC, Summer, 2013, gratuito
Claudio Corsetti, Italy, None, 27, LW, Sorrento, Parma FC, Summer, 2013, gratuito
Matteo Bellucci, Italy, None, 21, Striker, La Storta, Parma FC, Summer, 2013, gratuito
Cristiano Spirito, Italy, None, 21, RB, AS Melfi, Parma FC, Summer, 2013, gratuito
Pietro Tripoli, Italy, None, 26, LW, Varese, Parma FC, Summer, 2013, gratuito
Gabriele Puccio, Italy, None, 23, CM, Monza, Parma FC, Summer, 2013, gratuito
Stefano Rossini, Italy, None, 22, Midfielder, Fondi, Parma FC, Summer, 2013, gratuito
Mattia De Deo, Italy, None, 21, GK, Riccione, Parma FC, Summer, 2013, gratuito
Nicolas Šumský, Czech Republic, None, 19, AM, Bohemians 1905, Parma FC, Summer, 2013, gratuito
Mirko Velardi, Italy, None, 25, CM, US Palermo, Parma FC, Summer, 2013, gratuito
Simon Gentili, Italy, None, 23, Midfielder, Arezzo, Parma FC, Summer, 2013, gratuito
Mario Dragone, Italy, None, 18, RM, Arzanese, Parma FC, Summer, 2013, ?
Simone Palermo, Italy, None, 24, CM, AS Gubbio, Parma FC, Summer, 2013, ?
Carlo Crialese, Italy, None, 20, LB, Vigor Lamezia, Parma FC, Summer, 2013, ?
Raffaele Rosato, Italy, None, 19, CB, Taranto, Parma FC, Summer, 2013, ?
Daniele Gragnoli, Italy, None, 19, CF, Ascoli, Parma FC, Summer, 2013, ?
Giuliano Laezza, Italy, None, 19, CB, Arzanese, Parma FC, Summer, 2013, ?
Lorenzo Pasqualini, Italy, None, 23, LB, Ascoli, Parma FC, Summer, 2013, ?
Vincenzo Perna, Italy, None, 18, CM, Arzanese, Parma FC, Summer, 2013, ?
Sem Ogolong Kamana, France, Cameroon, 19, CB, Juve Stabia, Parma FC, Summer, 2013, ?
Francesco Finocchio, Italy, Brazil, 21, RW, Bologna, Parma FC, Summer, 2013, ?
Alessandro Piacenti, Italy, None, 20, GK, Foligno, Parma FC, Summer, 2013, ?
Francesco Checcucci, Italy, None, 24, CB, Crotone, Parma FC, Summer, 2013, ?
Matteo Legittimo, Italy, None, 24, CB, Lecce, Parma FC, Summer, 2013, ?
Domenico Mungo, Italy, None, 20, CM, Chieti, Parma FC, Summer, 2013, ?
Massimo Coda, Italy, None, 24, CF, San Marino, Parma FC, Summer, 2013, ?
Andrea Giallombardo, Italy, None, 32, LB, Ascoli, Parma FC, Summer, 2013, ?
Abdelkader Ghezzal, Algeria, France, 28, CF, Bari, Parma FC, Summer, 2013, ?
Riccardo Brosco, Italy, None, 22, CB, Pescara, Parma FC, Summer, 2013, ?
Alen Jogan, Slovenia, None, 27, CB, ND Gorica, Parma FC, Summer, 2013, ?
Gianluca Nucera, Italy, Switzerland, 19, LM, US Poggibonsi, Parma FC, Summer, 2013, ?
Vicente, Brazil, Italy, 24, CM, Padova, Parma FC, Summer, 2013, ?
Stefano Russo, Italy, None, 24, GK, Brescia, Parma FC, Summer, 2013, ?
Angelo Tartaglia, Italy, None, 20, CB, Fidelis Andria, Parma FC, Summer, 2013, ?
Alberto Giuliatto, Italy, None, 29, LB, Nocerina, Parma FC, Summer, 2013, ?
Francesco Calcagno, Italy, None, 21, AM, SS Milazzo, Parma FC, Summer, 2013, ?
Mikael Ishak, Sweden, None, 20, CF, 1. FC Köln, Parma FC, Summer, 2013, ?
Luca Ceppitelli, Italy, None, 24, CB, Bari, Parma FC, Summer, 2013, ?
Alessandro Favalli, Italy, None, 20, LB, Cremonese, Parma FC, Summer, 2013, ?
Alessandro Luparini, Italy, None, 20, CF, V. Spoleto, Parma FC, Summer, 2013, ?
Antonio Stelitano, Italy, None, 25, RB, Turnu-Severin, Parma FC, Summer, 2013, ?
Alessandro Ferretti, Italy, None, 19, Midfielder, Foligno U19, Parma FC, Summer, 2013, ?
Cosimo Chiricò, Italy, None, 21, RW, Lecce, Parma FC, Summer, 2013, ?
Nicola Russo, Italy, None, 21, LW, Nocerina, Parma FC, Summer, 2013, ?
Antonio Maglia, Italy, None, 17, CM, Vigor Youth, Parma FC, Summer, 2013, ?
Vito Falconieri, Italy, None, 27, CF, Ascoli, Parma FC, Summer, 2013, ?
Ronaldo Vanin, Brazil, Italy, 30, RB, Lecce, Parma FC, Summer, 2013, ?
Luca Fiordiani, Italy, None, 21, Midfielder, Foligno, Parma FC, Summer, 2013, ?
Giovanbattista Catalano, Italy, None, 19, SS, Vigor Lamezia, Parma FC, Summer, 2013, ?
Luigi Del Giudice, Italy, None, 19, DM, Imperia, Parma FC, Summer, 2013, ?
Carmine De Sena, Italy, None, 21, CF, Portogruaro, Parma FC, Summer, 2013, ?
Alessandro Gozzi, Italy, None, 20, GK, Savona, Parma FC, Summer, 2013, ?
Abdou Doumbia, France, Mali, 23, LW, AC Siena, Parma FC, Summer, 2013, ?
Massimo Loviso, Italy, None, 29, DM, Crotone, Parma FC, Summer, 2013, ?
Giuseppe Caccavallo, Italy, None, 26, RW, Crotone, Parma FC, Summer, 2013, ?
Emmanuel Cascione, Italy, None, 29, CM, Pescara, Parma FC, Summer, 2013, ?
Salvatore Sandomenico, Italy, None, 23, LW, Arzanese, Parma FC, Summer, 2013, ?
Yohan Benalouane, Tunisia, France, 26, CB, AC Cesena, Parma FC, Summer, 2013, ?
Tommaso Domini, Italy, None, 23, Midfielder, Ribelle, Parma FC, Summer, 2013, ?
Gianluca Lapadula, Italy, Peru, 23, CF, AC Cesena, Parma FC, Summer, 2013, ?
Felipe, Brazil, Italy, 28, CB, Fiorentina, Parma FC, Summer, 2013, ?
Matteo Gaudiano, Italy, None, 20, Midfielder, Fondi, Parma FC, Summer, 2013, ?
Gian Piero Tozzi, Italy, None, 19, SS, Foligno, Parma FC, Summer, 2013, ?
Ishak Belfodil, Algeria, France, 21, SS, Parma FC, Inter, Summer, 2013, 5.75 Mill. €
Raman Chibsah, Ghana, Italy, 20, CM, Parma FC, Sassuolo, Summer, 2013, 5.00 Mill. €
Dorlan Pabón, Colombia, None, 25, CF, Parma FC, Monterrey, Summer, 2013, 4.83 Mill. €
Graziano Pellè, Italy, None, 27, CF, Parma FC, Feyenoord, Summer, 2013, 3.00 Mill. €
Alberto Gallinetta, Italy, None, 21, GK, Parma FC, Juventus, Summer, 2013, 1.78 Mill. €
Danilo Pereira, Portugal, Guinea-Bissau, 21, DM, Parma FC, Marítimo, Summer, 2013, Free transfer
Domenico Morabito, Italy, None, 19, Midfielder, Parma FC, San Lazzaro, Summer, 2013, Free transfer
Giuseppe Prestia, Italy, None, 19, CB, Parma FC, Crotone, Summer, 2013, Free transfer
Rolf Feltscher, Venezuela, Switzerland, 22, RB, Parma FC, Lausanne-Sport, Summer, 2013, Free transfer
Francesco Modesto, Italy, None, 31, LB, Parma FC, Padova, Summer, 2013, Free transfer
Francesco Rapisarda, Italy, None, 21, RB, Parma FC, Vigor Lamezia, Summer, 2013, ?
Alessandro De Vitis, Italy, None, 21, CM, Parma FC, Sampdoria, Summer, 2013, ?
Milos Malivojevic, Italy, Serbia, 20, Midfielder, Parma FC, Vicenza, Summer, 2013, ?
Riccardo Casini, Italy, None, 21, CM, Parma FC, Bologna, Summer, 2013, ?
Simone Bezziccheri, Italy, None, 20, RW, Parma FC, QFC, Summer, 2013, ?
Nicola Del Pivo, Italy, None, 21, CB, Parma FC, AC Cesena, Summer, 2013, ?
Nick Modaffari, Australia, Italy, 21, LB, Parma FC, VIS, Summer, 2013, ?
Daniel Ciofani, Italy, None, 27, CF, Parma FC, Frosinone, Summer, 2013, ?
Tomislav Saric, Croatia, None, 23, CM, Parma FC, Crotone, Summer, 2013, ?
Simone Ciboldi, Italy, None, 18, Defender, Parma FC, Rimini, Summer, 2013, ?
Giuliano Laezza, Italy, None, 19, CB, Parma FC, AS Gubbio, Summer, 2013, ?
Emiliano Storani, Italy, None, 20, SS, Parma FC, Ascoli, Summer, 2013, ?
Luigi Palumbo, Italy, None, 22, CB, Parma FC, AC Cesena, Summer, 2013, ?
Nicolò Belotti, Italy, None, 20, LB, Parma FC, Brescia, Summer, 2013, ?
Jacopo Galimberti, Italy, None, 20, CB, Parma FC, Inter, Summer, 2013, ?
Matteo Ghirardi, Italy, None, 18, Defender, Parma FC, Valtarese, Summer, 2013, ?
Alessio Butini, Italy, None, 20, CM, Parma FC, Badesse, Summer, 2013, ?
Simone Palermo, Italy, None, 24, CM, Parma FC, Cremonese, Summer, 2013, ?
Vincenzo Giannusa, Italy, None, 32, CM, Parma FC, Arzanese, Summer, 2013, ?
Vittorio Fabris, Italy, None, 20, CM, Parma FC, Feralpisalò, Summer, 2013, ?
Diego Mella, Italy, None, 20, RW, Parma FC, Inter, Summer, 2013, ?
Nwankwo Obiora, Nigeria, None, 21, DM, Parma FC, CFR Cluj, Summer, 2013, ?
Hervé Diedhiou, Senegal, None, 20, RB, Parma FC, None, Summer, 2013, ?
Alessio Manzoni, Italy, None, 26, CM, Parma FC, None, Summer, 2013, -
Sime Vrsaljko, Croatia, None, 21, RB, Dinamo Zagreb, Genoa CFC, Summer, 2013, 4.88 Mill. €
Giannis Fetfatzidis, Greece, None, 22, RW, Olympiacos, Genoa CFC, Summer, 2013, 4.00 Mill. €
Rodney Strasser, Sierra Leone, None, 23, DM, AC Milan, Genoa CFC, Summer, 2013, 4.00 Mill. €
Isaac Cofie, Ghana, None, 21, CM, Chievo Verona, Genoa CFC, Summer, 2013, 3.00 Mill. €
Panagiotis Tachtsidis, Greece, None, 22, DM, AS Roma, Genoa CFC, Summer, 2013, 3.00 Mill. €
Mario Santana, Argentina, Italy, 31, RW, SSC Napoli, Genoa CFC, Summer, 2013, 3.00 Mill. €
Kévin Vinetot, France, Guadeloupe, 25, CB, Crotone, Genoa CFC, Summer, 2013, 1.00 Mill. €
Albano Bizzarri, Argentina, Italy, 35, GK, Lazio, Genoa CFC, Summer, 2013, 300 Th. €
Jami Rafati, Italy, Iran, 19, CM, West Ham U21, Genoa CFC, Summer, 2013, Free transfer
Daniane Jawad, Morocco, Italy, 27, LW, Viktoria Zizkov, Genoa CFC, Summer, 2013, Free transfer
Giovanni Marchese, Italy, None, 28, CB, Catania, Genoa CFC, Summer, 2013, Free transfer
Luca Antonini, Italy, None, 31, LB, AC Milan, Genoa CFC, Summer, 2013, Free transfer
Sebastien De Maio, France, Italy, 26, CB, Brescia, Genoa CFC, Summer, 2013, Free transfer
Matuzalém, Brazil, Italy, 33, DM, Lazio, Genoa CFC, Summer, 2013, ?
Daniel Jara, Paraguay, Spain, 19, CF, US Palermo, Genoa CFC, Summer, 2013, ?
Francesco Lodi, Italy, None, 29, DM, Catania, Genoa CFC, Summer, 2013, ?
Marco Cane, Italy, None, 20, RB, Aprilia, Genoa CFC, Summer, 2013, ?
Andreas Granqvist, Sweden, None, 28, CB, Genoa CFC, Krasnodar, Summer, 2013, 5.00 Mill. €
Mattia Destro, Italy, None, 22, CF, Genoa CFC, AS Roma, Summer, 2013, 4.50 Mill. €
Francesco Acerbi, Italy, None, 25, CB, Genoa CFC, Sassuolo, Summer, 2013, 3.20 Mill. €
Ciro Immobile, Italy, None, 23, CF, Genoa CFC, Torino, Summer, 2013, 2.75 Mill. €
Valerio Verre, Italy, None, 19, CM, Genoa CFC, AS Roma, Summer, 2013, 2.50 Mill. €
Giammario Piscitella, Italy, None, 20, LW, Genoa CFC, AS Roma, Summer, 2013, 1.50 Mill. €
Dejan Lazarevic, Slovenia, None, 23, LW, Genoa CFC, Chievo Verona, Summer, 2013, 1.50 Mill. €
Cesare Bovo, Italy, None, 30, CB, Genoa CFC, Torino, Summer, 2013, 800 Th. €
Emiliano Moretti, Italy, None, 32, CB, Genoa CFC, Torino, Summer, 2013, 700 Th. €
Alexandros Tzorvas, Greece, None, 30, GK, Genoa CFC, Apollon Smyrnis, Summer, 2013, Free transfer
Giacomo Bindi, Italy, None, 26, GK, Genoa CFC, Catanzaro, Summer, 2013, Free transfer
Valter Birsa, Slovenia, None, 27, AM, Genoa CFC, AC Milan, Summer, 2013, Free transfer
Cristóbal Jorquera, Chile, None, 25, CM, Genoa CFC, Parma, Summer, 2013, Free transfer
Selim Ben Djemia, Tunisia, France, 24, CB, Genoa CFC, Stade Laval, Summer, 2013, Free transfer
Vincenzo Rennella, Italy, France, 24, CF, Genoa CFC, Real Betis, Summer, 2013, Free transfer
Damiano Ferronetti, Italy, None, 28, CB, Genoa CFC, Ternana, Summer, 2013, gratuito
Robert Stillo, Canada, Italy, 22, GK, Genoa CFC, Parma, Summer, 2013, gratuito
Linus Hallenius, Sweden, None, 24, CF, Genoa CFC, FC Aarau, Summer, 2013, 50 Th. €
Giacomo Beretta, Italy, None, 21, CF, Genoa CFC, AC Milan, Summer, 2013, ?
Panagiotis Tachtsidis, Greece, None, 22, DM, Genoa CFC, Catania, Summer, 2013, ?
Andrea Doninelli, Italy, None, 22, CM, Genoa CFC, Juve Stabia, Summer, 2013, ?
Andrea Parodi, Italy, None, 20, CF, Genoa CFC, Sorrento, Summer, 2013, ?
Sébastien Frey, France, None, 33, GK, Genoa CFC, Bursaspor, Summer, 2013, ?
Eugenio Lamanna, Italy, None, 23, GK, Genoa CFC, AC Siena, Summer, 2013, ?
Eros Pisano, Italy, None, 26, RB, Genoa CFC, US Palermo, Summer, 2013, ?
Marco Cane, Italy, None, 20, RB, Genoa CFC, Barletta, Summer, 2013, ?
Alessio De Bode, Italy, None, 22, CB, Genoa CFC, Messina, Summer, 2013, ?
Niccolò Romero, Italy, None, 21, CF, Genoa CFC, Pavia, Summer, 2013, ?
Michael Ventre, Italy, None, 17, SS, Genoa CFC, Inter U19, Summer, 2013, ?
Marco Rossi, Italy, None, 35, RM, Genoa CFC, None, Summer, 2013, -
