Name, Country 1, Country 2, Age, Position, Previous Club, Next Club, Transfer Fee
Benjani, Zimbabwe, South Africa, 31, CF, Man City, Blackburn Rovers, Summer, 2010, Free transfer
Hérold Goulon, France, None, 22, DM, None, Blackburn Rovers, Summer, 2010, -
Andy Haworth, England, None, 21, RM, Blackburn Rovers, Bury, Summer, 2010, Free transfer
Zak Jones, England, None, 21, GK, Blackburn Rovers, Forest Green, Summer, 2010, Free transfer
Steven Reid, Ireland, England, 29, RB, Blackburn Rovers, West Brom, Summer, 2010, Free transfer
Michael Hall, England, None, 19, LB, Blackburn Rovers, Accrington St., Summer, 2010, Free transfer
Lars Jacobsen, Denmark, None, 30, RB, Blackburn Rovers, West Ham, Summer, 2010, Free transfer
Alan Judge, Ireland, None, 21, CM, Blackburn Rovers, Notts County, Summer, 2010, ?
Yildiray Bastürk, Turkey, Germany, 31, AM, Blackburn Rovers, None, Summer, 2010, -
Yaya Touré, Cote d'Ivoire, None, 27, CM, FC Barcelona, Manchester City, Summer, 2010, 30.00 Mill. €
Mario Balotelli, Italy, Ghana, 20, CF, Inter, Manchester City, Summer, 2010, 29.50 Mill. €
David Silva, Spain, None, 24, AM, Valencia CF, Manchester City, Summer, 2010, 28.75 Mill. €
Aleksandar Kolarov, Serbia, None, 24, LB, Lazio, Manchester City, Summer, 2010, 22.70 Mill. €
James Milner, England, None, 24, CM, Aston Villa, Manchester City, Summer, 2010, 22.00 Mill. €
Jérôme Boateng, Germany, None, 21, CB, Hamburger SV, Manchester City, Summer, 2010, 12.50 Mill. €
Mohammed Abu, Ghana, None, 18, DM, None, Manchester City, Summer, 2010, ?
Robinho, Brazil, Spain, 26, LW, Manchester City, AC Milan, Summer, 2010, 18.00 Mill. €
Stephen Ireland, Ireland, None, 23, AM, Manchester City, Aston Villa, Summer, 2010, 9.70 Mill. €
Javier Garrido, Spain, None, 25, LB, Manchester City, Lazio, Summer, 2010, 2.50 Mill. €
Valeri Bojinov, Bulgaria, Italy, 24, CF, Manchester City, Parma, Summer, 2010, 2.00 Mill. €
Benjani, Zimbabwe, South Africa, 31, CF, Manchester City, Blackburn, Summer, 2010, Free transfer
